code,official_name,category,default_unit,allowed_units,synonyms,active
ABA-103,Aceite de oliva extra virgen,Abarrotes,garrafa,"garrafa,L","ACEITE DE OLIVA EXTRAVIRGEN GALON,Aceites de oliva extra virgen,ACEITE OLIVA EXTRA VIRGEN 1/5 Litros",true
ABA-250,Aceite de Sesamo Lata,Abarrotes,lata,lata,Aceites de Sesamo Lata,true
ABA-109,Aceite en Aerosol,Abarrotes,und,und,Aceites en Aerosol,true
ABA-110,Aceite para Freidora 17l,Abarrotes,L,L,"Aceite para Freidora,Aceites para Freidora",true
ABA-104,Aceite Soya Clover (pichinga),Abarrotes,pichinga,pichinga,"Aceite Soya Clover,Aceites Soya Clover",true
ABA-105,Aceituna Negra,Abarrotes,lata,lata,Aceitunas Negra,true
ABA-248,"Aceituna Verde con Pimiento 2,0",Abarrotes,paquete,"paquete,g","Aceitunas Verde con Pimiento 2,0",true
ABA-247,Achiote Taza 1,Abarrotes,und,und,Achiotes Taza 1,true
ABA-106,"Aderezo Ranchero 2,0",Abarrotes,paquete,paquete,"Aderezos Ranchero 2,0",true
ABA-246,Agua Tapa Rosca 600 Ml,Abarrotes,und,und,"Agua Tapa Rosca,Aguas Tapa Rosca",true
ABA-245,Ajonjoli Negro,Abarrotes,kg,kg,Ajonjolis Negro,true
ABA-139,Alcaparras,Abarrotes,und,und,,true
ABA-264,Alfajores,Abarrotes,und,und,,true
ABA-244,Alga Nori,Abarrotes,paquete,paquete,Algas Nori,true
ABA-243,Almendra Rebanada,Abarrotes,kg,kg,Almendras Rebanada,true
ABA-120,Arrollado de Jamón,Abarrotes,und,und,Arrollados de Jamón,true
ABA-003,Arroz,Abarrotes,paquete,"paquete,kg,g,bolsa","arroces,paquete de arroz,paquetes de arroz",true
ABA-125,Arroz 91% 12/1.8kg,Abarrotes,paquete,paquete,"Arroz 91% 12/,Arroces 91% 12/",true
ABA-242,Arroz para Sushi,Abarrotes,kg,kg,Arroces para Sushi,true
ABA-241,Arroz Risotto,Abarrotes,paquete,"paquete,g",Arroces Risotto,true
ABA-138,Atún en Bolsa,Abarrotes,und,und,Atunes en Bolsa,true
ABA-133,Avena,Abarrotes,envase,"envase,kg",Avenas,true
ABA-002,Azúcar,Abarrotes,kg,"kg,g,bolsa,paquete","azucar,azúcares,azucares",true
ABA-240,Azucar Blanco Doña Maria 12/2kg,Abarrotes,bulto,bulto,"Azucar Blanco Doña Maria 12/,Azucares Blanco Doña Maria 12/",true
ABA-239,Azucar Indiviadual en Sobres Corriente,Abarrotes,empaque,empaque,Azucares Indiviadual en Sobres Corriente,true
ABA-238,Azucar Molido,Abarrotes,paquete,paquete,Azucares Molido,true
ABA-237,Azucar Moreno D. Maria 500 Grs,Abarrotes,und,und,"Azucar Moreno D. Maria,Azucares Moreno D. Maria",true
ABA-236,Azucar Moreno Individual Sobres,Abarrotes,empaque,empaque,Azucares Moreno Individual Sobres,true
ABA-235,Azucar Splenda Dietitica,Abarrotes,caja,caja,Azucares Splenda Dietitica,true
ABA-234,Bebida Inst Cas Mfs 1/1800gr,Abarrotes,und,und,"Bebida Inst Cas Mfs 1/,Bebidas Inst Cas Mfs 1/",true
ABA-233,Bebida Inst Frutas Mfs 1/1800gr,Abarrotes,und,und,"Bebida Inst Frutas Mfs 1/,Bebidas Inst Frutas Mfs 1/",true
ABA-232,Bebida Inst Guanabana Mfs 1/1800gr,Abarrotes,und,und,"Bebida Inst Guanabana Mfs 1/,Bebidas Inst Guanabana Mfs 1/",true
